"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","1","tests","test_generate_index","","","","test_index_uses_configured_show_more_batch_sizes",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","0","tests","test_generate_index","","","","test_index_folder_creates_empty_index",""
"skipped","Sat Jun 06 21:04:34 GMT 2026","Sat Jun 06 21:04:34 GMT 2026","0","tests","test_simulation","","","","test_skipped",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","0","tests","test_prune_reports","","","","test_prune_reports_ignores_missing_path",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","2","tests","test_generate_index","","","","test_index_disables_show_more_with_zero_batch_sizes",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","0","tests","test_generate_index","","","","test_index_links_parent_breadcrumbs",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","0","tests","test_generate_index","","","","test_index_handles_branch_report_folder",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","1","tests","test_generate_index","","","","test_index_omits_parent_table_row_when_breadcrumbs_are_available",""
"broken","Sat Jun 06 21:04:34 GMT 2026","Sat Jun 06 21:04:34 GMT 2026","0","tests","test_simulation","","","","test_broken",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","0","tests","test_prune_reports","","","","test_prune_reports_keeps_latest_jobs_by_numeric_id",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","1","tests","test_generate_index","","","","test_index_pins_master_first",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","1","tests","test_generate_index","","","","test_index_sorts_directories_before_files",""
"failed","Sat Jun 06 21:04:34 GMT 2026","Sat Jun 06 21:04:34 GMT 2026","0","tests","test_simulation","","","","test_fail",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","1","tests","test_generate_index","","","","test_index_escapes_labels_and_encodes_links",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","0","tests","test_gate","","","","test_smoke_gate",""
"passed","Sat Jun 06 21:04:34 GMT 2026","Sat Jun 06 21:04:34 GMT 2026","0","tests","test_simulation","","","","test_pass",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","0","tests","test_gate","","","","test_regression_gate",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","3","tests","test_generate_index","","","","test_index_adds_show_more_controls_for_populated_lists",""
"passed","Sat Jun 06 21:04:33 GMT 2026","Sat Jun 06 21:04:33 GMT 2026","1","tests","test_generate_index","","","","test_index_tree_updates_navigation_indexes_without_touching_reports",""
