"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","1","tests","test_generate_index","","","","test_index_folder_creates_empty_index",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","1","tests","test_prune_reports","","","","test_prune_reports_keeps_latest-jobs_by_numeric_id",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_generate_index","","","","test_index_sorts_directories_before_files",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","1","tests","test_generate_index","","","","test_index_handles_branch_report_folder",""
"broken","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_simulation","","","","test_broken",""
"skipped","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_simulation","","","","test_skipped",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_simulation","","","","test_pass",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_prune_reports","","","","test_prune_reports_ignores_missing_path",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_gate","","","","test_regression_gate",""
"failed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_simulation","","","","test_fail",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","1","tests","test_gate","","","","test_smoke_gate",""
"passed","Thu Jun 04 22:24:58 GMT 2026","Thu Jun 04 22:24:58 GMT 2026","0","tests","test_generate_index","","","","test_index_escapes_labels_and_encodes_links",""
